,AAPL,BTC-USD,CL=F,ETH-USD,GC=F,JPM,MSFT,QQQ,TSLA,^GSPC
2019-07-31 00:00:00+00:00,51.341651916503906,10085.6279296875,58.58000183105469,218.65414428710938,1426.0999755859375,99.59294891357422,129.72628784179688,184.85865783691406,16.107332229614258,2980.3798828125
2019-08-01 00:00:00+00:00,50.23065948486328,10399.6689453125,53.95000076293945,217.80844116210938,1420.9000244140625,96.96577453613281,131.43032836914062,183.93968200683594,15.59000015258789,2953.56005859375
2019-08-02 00:00:00+00:00,49.167869567871094,10518.1748046875,55.65999984741211,217.87156677246094,1445.5999755859375,96.95718383789062,130.32601928710938,181.2311248779297,15.62266731262207,2932.050048828125
2019-08-03 00:00:00+00:00,,10821.7265625,,222.49034118652344,,,,,,
2019-08-04 00:00:00+00:00,,10970.1845703125,,222.6697235107422,,,,,,
2019-08-05 00:00:00+00:00,46.59403610229492,11805.6533203125,54.689998626708984,234.21502685546875,1464.5999755859375,94.07242584228516,125.86126708984375,174.82733154296875,15.221332550048828,2844.739990234375
2019-08-06 00:00:00+00:00,47.4760856628418,11478.1689453125,53.630001068115234,226.02064514160156,1472.4000244140625,94.81079864501953,128.22213745117188,177.27474975585938,15.383333206176758,2881.77001953125
2019-08-07 00:00:00+00:00,47.967708587646484,11941.96875,51.09000015258789,226.39100646972656,1507.300048828125,92.75025939941406,128.78384399414062,178.23236083984375,15.561332702636719,2883.97998046875
2019-08-08 00:00:00+00:00,49.025699615478516,11966.4072265625,52.540000915527344,220.94186401367188,1497.699951171875,94.3214111328125,132.22048950195312,182.11138916015625,15.886667251586914,2938.090087890625
2019-08-09 00:00:00+00:00,48.6216926574707,11862.9365234375,54.5,210.48890686035156,1496.5999755859375,94.2183837890625,131.09716796875,180.3992156982422,15.667332649230957,2918.64990234375
2019-08-10 00:00:00+00:00,,11354.0244140625,,206.73353576660156,,,,,,
2019-08-11 00:00:00+00:00,,11523.5791015625,,216.09286499023438,,,,,,
2019-08-12 00:00:00+00:00,48.498321533203125,11382.6162109375,54.93000030517578,211.28807067871094,1505.300048828125,92.44975280761719,129.2693328857422,178.3291015625,15.267333030700684,2882.699951171875
2019-08-13 00:00:00+00:00,50.55213928222656,10895.830078125,57.099998474121094,208.70904541015625,1502.199951171875,93.87496948242188,131.9444122314453,182.23712158203125,15.666666984558105,2926.320068359375
2019-08-14 00:00:00+00:00,49.047454833984375,10051.7041015625,55.22999954223633,186.6077423095703,1515.9000244140625,89.97711944580078,127.97095489501953,176.791015625,14.641332626342773,2840.60009765625
